﻿total=1147
ability	n.能力，才干；技能
chimney	n.烟囱，玻璃灯罩
choose	vt.挑选，选择，宁愿
Christmas	n. 圣诞节
church	n.教堂
cigar	n.雪茄烟
circle	vt.环绕，包围，环行
circus	n.马戏团，杂技场
claim	vt.要求，索取，认领
clavichord	n.击弦古钢琴(翼琴)
clear	vt.越过，使清澈
clearly	ad.清楚地，清澈地
cliff	n.悬崖，峭壁
clock	n.(时)钟，仪表
close	a.亲密的，接近的
clothes	n.衣服，被褥
clothing	n.衣服(总称)，被服
club	n.俱乐部，夜总会
clumsily	ad.笨拙地,样子瞥脚地
coast	n.海岸，海滨
coincidence	n.巧合，符合，一致
collapse	vt.使倒塌 vi. n.倒塌
collect	vt.收集，征收，集中
collection	n.收藏品，收集，征收
college	n.大学
comfortable	a.舒适的，愉快的
commit	vt.犯(错误)；委托
companion	n.伙伴，同伴
compete	vi.比赛，对抗
competition	n.比赛，竞争，竞争者
complaim	vi.抱怨，叫苦；控诉
complete	vt.完成，竣工
completely	ad.完全地，彻底地
concentration	n.专心，集中，浓缩
condition	n.条件，情况，状态
confidence	n.信心，自信，信任
confident	a.有信心的，自信的
confine	vt.限制，幽禁 n.边界
confirm	vt.证实，使...更坚定
Congo	n.刚果
connect	vt.连接，联合，结合
conscience	n.良心
consider	vt.认为，考虑，顾及
considerably	ad.相当地，颇为
construct	vt.建造，建设
contain	vt.装着，容纳，包含
contents	n.容纳物，内容，目次
continually	ad.不断地，连续地
continue	vi.继续，延长，留
contribute	vi.捐助，助成
control	n.	vt.控制，指挥
control	vt.控制，管理，监督
copper	n.铜；铜制品；铜币
cotton-wool	n.药棉，原棉
countryside	n.乡下，地方
course	n.进程，经过，趋势
courtyard	n.院子，庭院，天井
cover	vt.走完，越过 n.盖子
cow	n.母牛，奶牛
creature	n.动物，生物；人
creep	vi.爬行；蔓延；蠕动
critic	n.评论家，批评家
critically	ad.用鉴定的眼光
criticism	n.挑衅，吹毛求疵
crop	n.收成，作物，一组
cross	vt. vi.横穿，渡过
crystal	a.晶莹的，水晶的
curious	a.好奇的，奇怪的
cursed	a.该咒诅的，可恶的
curtain	n.窗帘，帷幕，帘子
Custom	House海关大楼
cycle	vi.骑自行车，循环
cyclist	n.骑自行车者
damage	vt.损害，毁坏 n.损坏
dance	vi.跳舞，手舞足蹈
danger	n.危险，危险物品
dangerous	a.危险的
dark	a.暗的，黑色的
dark	a.暗的，黑色的
darkness	n.黑暗，阴暗，秘密
Darwin	n.达尔文(城市名)
dead	a.死的，无生命的
death	n.死亡，毁灭，瘟疫
decide	vt.,vi.决定，下决心
decision	n.决定，判决，决议
deep	a.深的，深沉的
defeat	vt.打败，战胜；破坏
definitely	ad.一定，肯定地
delighted	a.高兴的，欣喜的
depth	n.深处，深度，纵深
descend	vi.降落，下斜，下来
descent	n.降下，出舱，斜坡
deserted	a.废弃的，荒无的
deserve	vt.应得，值得
design	vt.设计，草拟，计划
designer	n.设计者，谋划者
desolate	a.荒凉的，荒芜的
despair	n., vi.绝望
desperately	ad.绝望地,孤注一掷地
destruction	n.破坏，毁灭，消灭
detect	vt.探测，侦查，发觉
detective	n.侦探 a.侦探的
determine	vt.决心，决意，决断
develop	vt.养成，发展，开发
devote	vt.把...奉献给，献身
diamond	n.钻石，钻石刀，菱形
diet	n.节食
difference	n.差别，区别，差额
different	a.不同的，各种的
dig	vt.挖掘，采掘，探究
dinner-party	n.宴会
disappoint	vt.使失望，使沮丧
discover	vt.发现，泄露，看出
disease	n.疾病，弊病，变质
disguise	n.伪装，假装，掩饰物
dismay	vt.使惊愕，使沮丧
display	n.展览 vt.陈列，显示
distance	n.距离，远处，远离
distant	a.遥远的，疏远的
district	n.地区，管理，行政区
door-bell	n.门铃
door-knob	n.门把
double	a.双重的，加倍的
doubtful	a.可疑的，疑惧的
Dover	多佛(英国港市名)
downhill	ad.下坡,降下	vt.降低
drag	vt.拖，曳，拉，打捞
draw	vt.吸(入)，吸引，拉
drift	vi.漂流，放任自流
drill	vt. vi.钻孔，穿过
drily	ad.冷冰冰地，干燥地
drink	n.饮酒，饮料 vt.渴
drive	vt.迫使，驱赶，驾驶
driver	n.驾驶员，驱逐者
driving	licence驾驶执照
drunk	n.醉汉 a.醉的
due	a.预定的，应得的
dull	a.乏味的，迟钝的
duty	n.责任，义务，本分
each	pron.各，各自，每个
eager	a.渴望的，焦急的
earth	n.地球，地，地面
easier	a.更容易的，更舒松的
edge	n.边缘，边沿，刀口
effect	n.效果，结果，影响
effort	n.努力，艰难的尝试
Egyption	a.埃及的 n.埃及人
elderly	a.上了年纪的，年长的
election	n.选举，选择
elephant	n.象
else	a.别的，其他的
embarrass	vt.使窘迫，使为难
embassy	n.大使馆，大使职务
employ	vt.雇用，使用 n.使用
employer	n.雇主，老板
enable	vt.使能够
encourage	vt.鼓励，赞助，促进
encouragement	n.鼓励，奖励，怂恿
end	n.末了，终点 vi.结束
end	n.末了，终点，极限
endless	a.一望无际的，冗长的
engine	n.发动机，引擎；机车
Englishman	n.英吉利人，英国人
enormous	a.极大的，庞大的
entirely	ad.完全地，整个地
entitle	vt.题目为，给...称号
entrance	n.入口，进入
erect	vt.安装，使竖起
erupt	vt.喷发，迸发；长牙
escape	vi.逃脱，避开，逸出
especially	ad.特别，尤其，格外
establish	vt.确立，建立，设立
Europe	n.欧洲
evade	vt. 逃避，躲避；
even	ad.甚至，连...也
eventually	adv. 终于，最后；
eventually	ad.终于，最后
ever	ad.任何时候；永远
everybody	pron.每人，人人
everyone	pron.每人，人人
evil	a.坏的，邪恶的
exactly	ad.恰恰, 正好,准确地
examine	vt.检查，考试
examiner	n.主考人，审查者
exchange	n.电话交换台，交换
excitement	n. 兴奋，激动；
exclaim	vi.,vt.大声说，呼喊
excursion	n.旅行，远足
exhibition	n.展览会，陈列品
expect	vt.期待，预期，指望
experience	n.,vt.经历，经验
experiment	n. vi.试验，实验
expert	n.专家，能手
explain	vt. vi.说明，解释
explanation	n.解释，说明
explorer	n.探险者，探索者
explosion	n.爆炸声；扩张；爆发
explosive	n.炸药 a.爆炸性的
express	vt.表达，表白
ex-Prime Minister	n.前任总理
extent	n.程度，范围；广阔
extraordinary	a.不平凡的，非常的
extremely	ad.非常地，极端地
factory	n.工厂，制造厂
fail	vi.不，不能，忘记
fair	n.定期集市，博览会
fairly	ad.相当地，公正地
famous	a.著名的，极好的
fan	n.戏迷，狂热爱好者
fanatical	a.狂热的，盲目听信的
fantasy	n.幻想，空想；怪念头
far	ad....得多 a.远的
farewell	n.告别，告别词
fast	ad.酣畅地，牢固地
fear	vt. vi.害怕，敬畏
feet	n.足，英尺
festival	n.节日，庆祝，饮宴
fewer	a.为数更少的
field	n.田地，区域，原野
field-glasses	小型双筒望远镜
fight	vt.与...搏斗，争取
figure	n.塑像，数码，肖像
finally	ad.最后，终于
finger	n.手指，指状物
fire	n.火，火灾，燃烧
fire-extinguisher	n.灭火器
firemen	n.消防队员们
firm	n.公司，商行
first	num.第一 n.开始
fish	vi.捕、捞(鱼) n.鱼
fisherman	n.钓鱼者，捕鱼人
fishing	n.钓鱼，捕鱼；渔场
fishing-boat	n.渔船
fix	vt.使固定,注视；牢记
flat	n.(楼房的)一层，公寓
flight	n.飞行，航程，跳跑
flood	n.洪水，水灾；涨潮
flour	n.面粉 a.粉状的
flow	vi.,n.流，流动，流畅
follow	vt.& vi. 跟随，接着
following	a.接着的，下列的
food	n.食物，养料
fool	n.傻子 vt.愚弄，欺骗
foot	n.英尺
football	n.足球，橄榄球
footstep	n.足迹，脚步
forbid	vt.禁止
foreigner	n.外国人，陌生人
forest	n. 森林；
form	vi.形成，产生 n.形式
former	a.从前的，前任的
fortunate	a.幸运的，幸福的
fortunately	ad.幸运地，幸亏
fortune	n.命运； 富有； 幸运；
fortune-teller	n.占卜者，算命先生
framework	n.骨架，框架；组织
free	a.免费的，自由的
friendly	a.友好的，亲密的
fright	n.惊吓，恐怖
frightened	a.受惊吓的
frightful	a.可怕的，丑的
fur	n.毛皮，裘皮，皮毛衣
furniture	n.家具，器具，设备
gain	vt.得到，挣到，到达
game	n.游戏，玩耍，运动会
gardening	n.园艺
gasp	vi.喘气 n.屏气
gate	n.大门，出入口，通道
gather	vt.,vi.聚集，搜集
gaze	vi.凝视，注视
general	a.总的，全面的
gently	ad.慢悠悠地，轻轻地
ghost	n.鬼，灵魂，阴影
gift	n.赠品，礼物；天才
glance	n.vi.(粗略)看一下
glimpse	n.一瞥，隐约闪现
god	n.神，上帝，偶像
gold	n.金子，金币，财富
golden	a.金黄色的，贵重的
goods	n.货物，商品，动产
government	n.政府，政治，政权
grass-seed	草籽
gratitude	n.感谢，感激
great	a.极大的，伟大的
greater	a.更大的，更伟大的
Greenwich	格林威治
greenwood	n.绿林，生材
group	n.组群，团体，批
grower	n.种植者，栽培者
guard	n.守卫，卫兵 vt.保卫
guide	vt.为...领路，引导
guiltily	ad.内疚地
gust	n.阵风，突然一阵(雨)
habit	n.习惯，习性；僧袍
hand	n.指针，手，人手
handsome	a.气派堂皇的；大方的
hang	vt.悬挂；绞死，贴
harbour	n.港口，避难所
hard	ad.努力地,艰苦地；硬
hardly	ad.几乎不,不十分；才
harvest	vt. n.收获，收割
hate	vt.不喜欢,憎恨,嫌恶
haunted	a.闹鬼的，反复出现的
head	n.老板，负责人，头儿
headmaster	n.(英国的)中小学校长
health	n.健康，健康状况
heaven	n.天，天堂，上帝
heavily	ad.大量地，沉重地
heavy	a.拥挤的，沉重的
height	n.高度，(复)高地
helicopter	n.直升飞机
help	vt.帮助，援助，促进
helper	n.助手，帮手
hesitate	vi.迟疑，犹豫，不欲
hide	vi.,vt.藏，潜伏
history	n.历史，沿革，来历
hitch-hike	vi.搭便车
hobby	n.业余爱好，嗜好，癖
hold	vt.举行，握住，拥有
hole	n.孔眼，洞；伤口
honest	a.老实的，坦率的
honesty	n.诚实，正直，忠实
honour	n.荣誉，尊敬，名誉
horse-power	n.马力
hospital	n.医院，兽医院
hostess	n.女主人，女服务员
hot	a.通高压电的，热的
however	ad.然而，无论如何
huge	a.极大的，庞大的
humour	n.幽默，诙谐，滑稽
hungry	a.饥饿的，渴望...的
hurriedly	ad.匆忙地，草率地
Hyde	Park海德公园(伦敦)
immense	a.巨大的，无限的
impatiently	ad.不耐烦地，急躁地
important	a.重要的，重大的
inch	n.英寸
include	vt.包括，算入
include	vt.包含，包括
income	n.收入，所得
increase	vi.增加，增殖，增大
inform	vt.告诉，通知，报告
inland	ad.向内地，在内地
inn	n.小客店、小饭店
inn-keeper	n.客栈老板，酒店主
inquire	vi.询问，打听，调查
inside	prep.在...里面
insist	vi.坚持，定要，强调
inspector	n.检查员，视察员
instruct	vt.指示，命令，教育
instrument	n.器具，工具，仪器
intend	vt.打算，企图，意指
interest	n.兴趣，趣味，爱好
interested	a.感兴趣的，关注的
interrupt	vt.,vi.打断，阻挠
invasion	n.入侵，侵略，闯入
invent	vt.发明，创造，虚构
iron	n.铁，铁器；熨斗
island	n.岛，孤立地区
itself	pron.它自己，它本身
jazz	n.爵士音乐 a.花哨的
jeans	n.斜纹布裤子，牛仔裤
journey	n.旅途，旅行，历程
just then	正当那时
keep away	离开，避开，不使接近
key	n.琴键；钥匙，答案
kick	vt.踢，向...反冲
kill	vt.杀死，弄死；破坏
laboratory	n. 实验室；
ladder	n. 梯子，阶梯；
lake	n.湖泊，湖水
land	vi.着陆，登陆	n.土地
lane	n.行车道，小巷，狭路
language	n.语言，语言课
lantern	n.灯笼，灯火室，天窗
last	vi. vt.持续 a.最后的
latch	n.门闩，门锁 vi.锁上
late	a.迟的，晚的 ad.迟
late	a.迟的，晚的 ad.迟
laugh	vi.大笑，发笑 n.笑
lawyer	n.律师，法学家
lay	vt.摆出，放置；使之
layer	n.层，地层，一层
lead	vt.带领，领导
leading	a.主要的，领导的
leaf	n.树叶，叶子；花瓣
leap	vi.跳跃，跳动，交尾
learn	vi.,vi.得知，学会
lend	vt.借给,出借 vi.贷款
length	n.长，长度；时间
liberty	n.自由；自由权；失礼
lie	vi.位于，躺，平铺
lie	vi.说谎，作假 n.谎言
life-time	n.一生，终身
lift	n.搭便车；提，吊
light	vt.点燃，使光明
lighthouse	n.灯塔
lime-light	n.舞台灯光，聚光灯
line	n.一行(字)，线，线路
liquid	a.液体的，流动的
living	n.生活，生计，生存
local	a.当地的，地方的
lonely	a.孤零零的，幽静的
look for	寻找，期待
lorry	n.卡车
Los Angeles	洛杉矶(美国城市)
lost	a.丢失的，失败的
loudly	ad.大声地，高声地
loudly	ad.大声地，高声地
loudly	ad.大声地 a.高声的
lower	vt.放下，降低，削减
luck	n.运气，幸运
macaroni	n. 意大利粉，通心面
macaroni-eating	a.吃通心面的
machine	n.机器，机械
machinery	n.(总称)机器，机械
mad	a.发疯的，疯狂
Madagascar	马达加斯加岛(非洲)
main	a.主要的 n.体力
mainly	ad.主要地，大部分
man	n.部下，兵士，男人
manage	vt.设法，完成，管理
man-powered	a.人力的
march	vi.走动，行进
mark	n.斑点，标记，符号
market	n.市场，集市，行情
matador	n.斗牛士
material	n.料子，材料，物资
mattress	n.床垫，垫褥
meantime	n.某时，其间 ad.当时
meanwhile	ad.同时，其间，其中
measure	vi.有...长 vt.计量
Mediterranean	n.地中海地区
member	n.成员，会员，社员
mend	vt.修理，改进，订正
mention	vt.提及，说起 n.提及
message	n.信息
metal	n.金属
microphone	n.麦克风，拾音器
middle	n.中间，正中，中部
million	num.百万，百万个
mind	vi.介意，关心，留意
mine	pron. (I的所有格)我的（东西）
miraculously	ad.奇迹般地，神奇的
mirror	n.镜子，反映 vt.反射
mistake	n.错误，误会，误解
mix	vt.vi.拌和，混淆
modern	a.现代的，时髦的
money	n.货币，金钱，财富
monster	n.怪物，妖怪，巨兽
monument	n.纪念像，纪念碑
motorist	n.开汽车的人
mountains	n.山区，山脉
mournful	a.悲哀的，令人沮丧的
movement	n.动作，运动，移动
moving	a.感人的，动的
mummy	n.木乃伊；妈咪(儿语)
murder	n.谋杀，杀害，屠杀
museum	n.博物馆，展览馆
music	n.音乐，乐曲，乐谱
musical	a.音乐的，和谐悦耳的
mystery	n.难以理解的事，秘密
myth	n.神话，神话故事
nearby	ad.在附近 a.附近的
nearest	ad.最近的，最亲近的
neat	a.整洁的，简洁的
necessary	a.必要的，必须的
nerve	n.神经，勇气，精力
nervous	a.紧张不安的，神经的
no less	仍然，依旧，还是
no parking	禁止停车
noble	a.崇高的，高尚的
nod	vi.点头，低头
none	pron.没有人
none	pron.没有人
normal	a.正常的，合乎规范的
normally	ad.通常地，正常地
notice	vt.注意到，提到
oarfish	n.皇带鱼
obey	vt.服从,执行 vi.听话
object	vt.反对..  n.物体
observatory	n.天文台，了望台
observe	vt.观察，观测；遵守
obvious	a.明显的
obviously	ad.明显地，显著地
occasion	n.场合，时刻，时机
occasionally	ad.偶然地
occur	vi.被想到，发生
ocean	n.海洋，无限，无边
of course	当然
official	n.高级职员，官员
officially	ad.正式地，官方地
Olympic	n.奥林匹克
Olympic	a.奥林匹克的
on time	按时，准时
once	ad.一次，曾经
once a month	每月一次
operate	vi.动手术，操作
operation	n.手术，运行，操作
opponent	n.反对者，敌手
orange-coloured	a.橘红色的，橘黄色的
order	n.秩序，顺序，制度
ordinary	a.平常的，平凡的
ought	aux. v.应该...
outside	ad.在外面，向外面
outside	ad.在外面，向外面
overhead	ad.在头顶上，在高处
own	a.自己的，特有的
owner	n.主人，物主
packet	n.小包，包裹；群，组
paint	vt.绘画；着色 n.颜料
painter	n.油漆工，画家；缆绳
palace	n.宫殿，华丽的大厦
pale	a.苍白的，暗淡的
parcel	n.小包，包裹 vt.打包
parent	n.父，母，(复)双亲
Paris	n.巴黎
park	vi.,vt.停放 n.公园
parliament	n.议会，国会，议院
part	n.零件，部分
past	prep.经过，越过
pastry	n.油酥面，馅饼
patch	n.一小块地，斑点
path	n.小路，人行道，跑道
patience	n.坚韧，耐性，忍耐力
patient	n.病人，被动者
pattern	n.图案，式样；模范
paw	n.脚爪
pay	vt.,vi.支付，缴纳
pay	vt., vi.支付，缴纳
peculiar	a.奇异地，特有的
pedal	vi.踩动踏板,骑自行车
pedestal	n.底座，根基，基础
per	prep.每；经，由
percent	百分之...
perfect	a.完美无缺的，极好的
performance	n.演出，履行，完成
persistent	a.坚持的，固执的
persuade	vt.说服，劝说
Perth	n.珀思(澳大利亚城市)
petrol	n.汽油 vt.加以汽油
pick	vt.摘，采，挑选
picnic	n.野餐，郊游
pigeon	n.鸽子
pile	n.堆，大批，大块
pipe	n.管乐器，管道，笛子
pirate	n.海盗，海盗船
plain	n.平原，旷野
plan	vi.vt.计划，设计
plane	n.飞机，机翼；平面
planet	n.行星
plant	vt.种植，养殖 n.植物
play	n.戏剧，剧本，游戏
play	n.戏剧，剧本；游戏
please	vt.使高兴，使喜欢
pleasure	n.快乐，愉快；乐趣
plough	vt.耕种，犁沟 n.犁
point	n.点，标点，论点
pole	n.(地球的)极，磁极
police	n.警察当局，警察
polite	a.有礼貌的，殷勤的
political	a.政治的，政党的
polo	n.水球，马球
poor	adj. 贫穷的，贫乏的；
popular	a.受欢迎的，流行的
population	vt.人口，人口数
port	n.港，港口，口岸
porter	n.搬运工人，服务员
Portsmouth	n.朴次茅斯(英国军港)
possess	vt.拥有，占有，具有
possession	n.拥有，占有；财产
possible	a.可能做到的
postcard	n.明信片
postcard	n.明信片
post-office	n.邮政局
pot	n.桶，壶，罐，锅
power	n.电力，动力，能力
power line	电力线
powerful	a.强大的，强有力的
precaution	n.预防措施，警惕
precious	a.珍贵的，十足的
prefer	vt.宁愿，更喜欢
prepare	vt.准备，预备，筹备
present	n.现在，目前 vt.介绍
press	vt.按，压，榨，拥抱
pressure	n.压力，压，困厄
pretend	vt.,vi.假装，装得...
prevent	vt. vi.阻碍，妨碍
Prime Minister	n.总理
prisoner	n.囚犯，俘虏，拘押犯
private	a.私下的，个人的
private	a.私下的，个人的
prize	n.奖赏，奖品 vt.珍视
probably	ad.可能，大概，或许
process	vt.加工，处理；起诉
produce	vt.拿出，生产，制作
profit	n.利润，利益，得益
progress	vi.进行，进步，进展
progressive	a.进步的，先进的
promptly	ad.迅速地，立刻
proud	a.自豪的，骄傲自大的
prove	vi.显示，表明
public	a.公共的，公用的
public garden	公园
pull	vt.拨，拖，拉
punish	vt.惩罚
pupil	n.小学生，门生；瞳仁
push	vt. vi.推，冲；挤向
put out	熄灭，拿出，长出
quantity	n.量，数量；大量
queue	vi.排长队 n.一行
quick	a.快的，敏捷的
quietly	ad.静悄悄地，平稳地
racing	n. 速度比赛，赛跑，赛马，赛车等；
radical	a.激进的，根本的
railway	n.铁路，铁道部门
railway-line	n.铁路线
rapidly	ad.迅速地，敏捷地
rare	a.罕见的，稀少的
rarely	ad.很少地，难得地
rather	ad.相当，颇为，宁愿
reach	v. 到达，走到；
reach	vt.,vi.到达，达到
react	vi.反应；反动，反抗
real	a.真正的，现实的
realize	vt.了解，认识到
reason	n.原因，理由；理智
rebuild	vi.重建，改造
receive	vt.收到，接受，承受
receiver	n.话筒，接受者
recent	a.最近的，近来的
recently	ad.最近，近来，近代
reception	n.酒会，茶话会，欢迎
record	n.记录，案卷，履历
record-holder	n.纪录保持者
refuse	vt.,vi.拒绝，不愿
registered	a.挂号的，已注册的
regret	vt.后悔，遗憾，抱歉
relation	n.亲戚；关系，叙述
relative	n.亲戚，亲属，关系词
relieve	vt.减轻，解除，救济
reluctant	a.不愿意的，勉强的
remains	n.遗体，残余，遗迹
remark	vt.说，评说，注意
remind	vt.提醒，使想起
reminder	n.提醒物，提示
remove	vt.去掉，移除，搬走
repeat	vi.,vt.复述，重做
repeat	vi.,vt.复述 n.重复
replace	vt.代替,更换,赔(款)
reply	vi.,vt.回答，答复
reputation	n.名声，名誉，声望
request	n.要求，请求，需要
require	vt.要求，需要，命令
rescue	vt.拯救，营救，挽救
resin	n.树脂，松脂
responsible	a.(应)负责的，尽责的
rest	vi.休息，静止 n.休息
result	n.结果，成果，成效
retirement	n.退休，退职，引退
return	n.,vt.,vi.报答，返回
reveal	vt.揭露，显示，泄露
reverler	n.揭露者，展示者
reward	n.vt.报偿，报答
rice	n.米饭
ride	n.(乘车)旅行，骑，乘
rifle	n.步枪，来福枪
ring	vi.(钟、铃)鸣响
ring	vi.(钟、铃)鸣响
Rio de Janneiro	里约热内卢(巴西港市)
risk	n.冒险，危险
rival	n.对手，竞争者
river bed	n.河床
road	n.道路，公路；途径
roar	vi.轰鸣，呼啸，吼叫
rock	n.暗礁，岩石，岩壁
roof	n.屋顶，房屋；车顶
root	n.根，根本，根源
round	a.圆的 ad.围绕地
row	vi.划船，划行
royal	a.英国皇家的，王室的
rude	a.粗鲁的，无礼的
rudely	ad.粗鲁地；原始地
rudely	ad.粗鲁地，原始地
rush	vi.冲，涌去，袭击
sack	n.袋，包，睡袋
sadly	ad.悲哀地，难过地
safety	n.安全，平安，稳妥
sail	vi.航行，启航 n.帆
sailor	n.海员，水手，船夫
salary	n.薪水 vt.给...薪水
salute	vi. vt.致敬礼，祝贺
sand	n.沙，沙子，沙滩
sarcastic	a.讽刺的，挖苦的
satisfaction	n. 满足，满意，舒服；
save	vt.节约，储蓄；拯救
savings	n.存款，储蓄金
scene	n.现场，场面，景色
scientist	n.科学家
scornfully	ad.轻蔑地，藐视地
sculptor	n.雕刻家
sea	n.海，海洋，海面
sea-level	n.海平面
seaman	n.海员，水手，水兵
search	vt.搜寻出，搜查
sea-shore	n.海岸
seat	n.座位，底座，所在地
seat	n.座位，vt.使坐下
secretary	n.秘书，书记，干事
section	n.切片；部分；节，款
seek	vt.找出，探索，寻觅
seem	vi.似乎，看来好象
send	vt. vi.送,寄发；派遣
send	vt.,vi.送，寄发
sense	n.感觉，感官，观念
sensitive	adj. 敏感的； 感觉的；
serious	a.严重的，严肃的
service	n.业务，服务 vt.检修
set	vt.放，竖立；安置
settle	vi.定居，安放，整理
several	a.几(至少三)
several	a.几个(至少三个)
shady	a.荫凉的，荫蔽的
shake	vt.,vi.摇，动摇
shame	n.耻辱，羞耻
shed	n.小棚子
sheriff	n.司法长官
shining	a.闪闪发光的，明显的
shock	vt.使震惊，使愤慨
shop	n.铺子，商店；工厂
shore	n.岸；海滨
shortly	ad.不久,马上；简短地
shot	n.子弹，炮弹；射击
shoulder	n.肩，肩部 vt.挑起
shout	vt.,vi.高呼，大声嚷
shouting	n.叫喊声，哗笑
side-street	小街道
sight	n.视域，视觉，见解
sign	vt.签名 vt.签署
signal	n.信号，暗号；动机
silver	a.银白色的，银的
simply	ad.仅仅,只是,简单地
sing	vt.,vi.唱，演唱
singer	n.歌手，歌唱家，诗人
single	a.单一的，独身的
site	n.场所，基地，位置
skin	n.皮肤，皮，毛皮
sleeping-bag	n.睡袋
slow	ad.缓慢地，审慎地
smash	vt.vi.n.打碎，粉碎
smell	vi.散发...气味 vt.闻
smoke	n.烟雾；抽烟 vi.熏
smoking	n.吸烟，冒烟，熏制
smoothly	ad.顺利地，通顺地
